Code,Season,Date,ADPE,ANSH,ANTE,AnySkua,BBSP,BRSK,CAPE,CHPE,EMPE,GEPE,KEGU,MACP,SGPE,SkuaSpp,SNPE,SNSH,SOFU,SPSK,WISP
AITC,1995-96,2/2/1996,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0
AITC,1995-96,2/9/1996,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ALMI,1995-96,11/28/1995,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALMI,1995-96,12/16/1995,NA,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTR,1995-96,1/15/1996,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
BAIL,1995-96,11/29/1995,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIL,1995-96,11/30/1995,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
BAIL,1995-96,1/27/1996,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
BROW,1995-96,1/22/1996,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA
BROW,1995-96,2/10/1996,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CUVE,1995-96,11/27/1995,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,1
CUVE,1995-96,1/19/1996,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAMO,1995-96,1/24/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
DEVI,1995-96,1/20/1996,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1
DURV,1995-96,2/10/1996,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
